channel;url;type
marktreller;https://www.youtube.com/channel/UCqSCNZ5Td7M7r64sCFkHmGw;NA
Neue Horizonte;https://www.youtube.com/channel/UC-zK3cJdazy01AKTu8g_amg;NA
Starbulls Rosenheim;https://www.youtube.com/channel/UCxEFpQKIbRYKwhbhRvQ7grQ;NA
Indigo Kristall;https://www.youtube.com/channel/UCf4EMg_v-6RYtitZtNNWXeA;NA
Gustav Peter Wöhler Band;https://www.youtube.com/channel/UCaASiZ8L2At-8dvaShhmHBQ;NA
Marius Mutin;https://www.youtube.com/channel/UCV6s3_LNR6ryAm82DoCXczA;NA
Salon im Cafe Luitpold;https://www.youtube.com/channel/UCJVSDHI5EeUPjKih325qGFw;NA
WochenENDspiegel;https://www.youtube.com/channel/UCt_ja7u7GtD9EJJS0Omtr6Q;NA
Politiklive;https://www.youtube.com/channel/UCwJwsqYija61p_Vx7wf6boA;NA
Kevin Lauert;https://www.youtube.com/channel/UC_i1qjXtnSfXmOzIErUF-aA;NA
Asoziales Netzwerk - Sektion Oberbayern;https://www.youtube.com/channel/UCoxLFiefpRvEksiVB5SNTSQ;NA
WMZtv Seenland;https://www.youtube.com/channel/UC3d3Ztak3uNkeV5BNocEQzQ;NA
machsab16;https://www.youtube.com/channel/UCzjQxN6r8KdfkN5Z-pMI8Kg;NA
Günter Grützner;https://www.youtube.com/channel/UCFgovearWM4Qh7hqgWGCp9Q;NA
WIRmachenDRUCK GmbH;https://www.youtube.com/channel/UCftmHbSwvcUMb13KIk5xTQA;NA
AzA;https://www.youtube.com/channel/UCHtBVSFcDJVBY-UkxtVDt_g;NA
L Podder;https://www.youtube.com/channel/UCcGbwF9RJ-bxBTK9D1Flnrw;NA
GRB;https://www.youtube.com/channel/UClaQQMzLnNOYFjP3qBMxE6w;NA
Ingo ohne Flamingo;https://www.youtube.com/channel/UCmWrBjmB6WCoLB4MTaqLBEQ;NA
Andreas Dorfmann;https://www.youtube.com/channel/UCDYMh3IvACfdFGOv6dPEqAg;NA
Clemens Viehrig;https://www.youtube.com/channel/UCTsoO4J7MQO5RGmuu3Y8Swg;NA
Goal DTC;https://www.youtube.com/channel/UCAOmXwVn8owZXNroz6hOfrQ;NA
Dieter Röseler;https://www.youtube.com/channel/UC60nb0aYIkwCeBsEio-IzjQ;NA
RT Zapper;https://www.youtube.com/channel/UCByO_g0EL7p1AUDRXlN68GQ;NA
Sebasté;https://www.youtube.com/channel/UCfa0RRoPI7anabHMII6hRhw;NA
Paddy's Microkosmos;https://www.youtube.com/channel/UCdzL665A1jpNDVE7N2_FoKQ;NA
Bernd Heinze;https://www.youtube.com/channel/UCC8hHDDdUB2wf-4HMmbcGmQ;NA
Rebel Media;https://www.youtube.com/channel/UCGy6uV7yqGWDeUWTZzT3ZEg;NA
Redepult;https://www.youtube.com/channel/UCDS6ELe5Rmi_9hXbUmIl8qQ;NA
Für Gerechtigkeit;https://www.youtube.com/channel/UC7HQdvwPdK8YCkKz4hOHVtg;NA
Gustav Schwarz;https://www.youtube.com/channel/UCquKQdOYj7HKbssYlL0yELg;NA
Dubravko Mandic;https://www.youtube.com/channel/UCc2BsbPTOqYSDy_hZyM11HA;NA
Charles Krüger;https://www.youtube.com/channel/UCSLnD8xd-81Lc96OE9kBkOQ;NA
Kameramensch;https://www.youtube.com/channel/UCpdufCabRQgKs_Ir0sJ2lEQ;NA
MURAT O.;https://www.youtube.com/channel/UCuZK67bNWwyVuZGviyDpLdQ;NA
Mira B;https://www.youtube.com/channel/UCD4DMNu-A8m2z0aBIhHiRLg;NA
Dietrich Herrmann;https://www.youtube.com/channel/UC9tI9gDWeoPSsoFC3-cimng;NA
Sternenfee;https://www.youtube.com/channel/UC6Wbh70A2-zCMx9aPhT6ohg;NA
LausitzZeitgeschehen;https://www.youtube.com/channel/UCj-0hujFWIswGtEHSBJA4kA;NA
Wilfried Seywald;https://www.youtube.com/channel/UCOQAFBlstPeMNdrR_5NZMxQ;NA
Audiolith;https://www.youtube.com/channel/UCHsXGGZMON7gmfrNak02yfQ;NA
hurz10111;https://www.youtube.com/channel/UC8DAanBFEmc12QBU4dkVXAQ;NA
zeitpunktplus;https://www.youtube.com/channel/UCz6l1DV3KBOUHBMQ9RlRnjQ;NA
eventomaxx GmbH;https://www.youtube.com/channel/UCzINl-F6n1X6GfhXd82KDig;NA
Freshtorge;https://www.youtube.com/channel/UCr3LVdbgOcW4NZEpo0VHnxw;NA
Bertwin Schatt;https://www.youtube.com/channel/UCMmWGKZ_9Gv3Hxtj3CptX0g;NA
ganz-muenchen.de;https://www.youtube.com/channel/UCwxGKn-DRzrcZ29Oads6w9w;NA
Film Factory;https://www.youtube.com/channel/UCymfrrdYYXyXMdpCrZHRisQ;NA
Christina Schmautz;https://www.youtube.com/channel/UCZyGcYcON8gDYmiWyq2iETA;NA
Katja Harders;https://www.youtube.com/channel/UCCrpYEdi-CkGgaMZ81TJfUw;NA
Emma Saying;https://www.youtube.com/channel/UCNE227nPPd04KCtOK7_T7UQ;NA
Atticus e.V.;https://www.youtube.com/channel/UCkdccfkYZVpTOh_SXFaxxJQ;NA
Zillertaler Haderlumpen - Topic;https://www.youtube.com/channel/UCq4RUP6V84gyZ-vAwIMWsUg;NA
i&u - Information & Unterhaltung;https://www.youtube.com/channel/UC2cJbBzyHM48MVFB6eOW9og;NA
SMWA;https://www.youtube.com/channel/UC__UdL85XuQVBfCoV4gb8RA;NA
Muldentaltv;https://www.youtube.com/channel/UCuOoz3vvSATPK_z569BL11Q;NA
zeitzeugen-portal;https://www.youtube.com/channel/UC-ry8ngUIJHTMBWeoARZGmA;NA
probono TV;https://www.youtube.com/channel/UCU6KG-xVGVyS6_nVKPtTKMA;NA
Oscar am Freitag-TV;https://www.youtube.com/channel/UCoLeSAsDTok7Z-cUt6P4r9Q;NA
digitour;https://www.youtube.com/channel/UCRb3B6wk6iTc2xnIXhGIKXA;NA
ed-media;https://www.youtube.com/channel/UCSQgqiwcFKMmaM4DHS_Qspg;NA
